karate N=34, E=78

Algorithm                		Mean AUC       		Runtime
resource_allocation_index		0.7228         		0.002s
jaccard_coefficient      		0.5872         		0.002s
adamic_adar_index        		0.712          		0.002s
preferential_attachment  		0.655          		0.002s
cn_soundarajan_hopcroft  		0.6566         		0.002s
ra_index_soundarajan_hopcroft		0.7604         		0.002s
within_inter_cluster     		0.6807         		0.002s
common_neighbor_centrality		0.7498         		0.003s
