football N=115, E=613

Algorithm                		Mean AUC       		Runtime
resource_allocation_index		0.8389         		0.015s
jaccard_coefficient      		0.8507         		0.015s
adamic_adar_index        		0.8327         		0.015s
preferential_attachment  		0.3184         		0.011s
cn_soundarajan_hopcroft  		0.8344         		0.015s
ra_index_soundarajan_hopcroft		0.8038         		0.012s
within_inter_cluster     		0.7997         		0.018s
common_neighbor_centrality		0.8374         		0.035s
